"month_start","output_milk_idx","input_fertilisers_idx","input_energy_idx","input_feed_idx","input_avg_idx","spread_idx","spread_rolling_12","mom_spread_chg","yoy_spread_chg"
"2020-01-01","104.27","105.07","111.94","100.36","105.79",NULL,NULL,NULL,NULL
"2020-02-01","105.56","102.51","108.89","98.61","103.34",NULL,NULL,NULL,NULL
"2020-03-01","98.89","102.07","105.1","98.94","102.04",NULL,NULL,NULL,NULL
"2020-04-01","94.93","102.02","97.38","99.92","99.77",NULL,NULL,NULL,NULL
"2020-05-01","95.98","101.13","93.41","100.16","98.23",NULL,NULL,NULL,NULL
"2020-06-01","98.81","100.01","95.92","100.38","98.77",NULL,NULL,NULL,NULL
"2020-07-01","100.2","98.84","98.04","100.33","99.07",NULL,NULL,NULL,NULL
"2020-08-01","100.78","98.45","98.14","99.48","98.69",NULL,NULL,NULL,NULL
"2020-09-01","102.31","97.53","97.02","99.3","97.95",NULL,NULL,NULL,NULL
"2020-10-01","103.91","97.57","98.2","99.72","98.50",NULL,NULL,NULL,NULL
"2020-11-01","104.35","97.46","98.42","100.78","98.89",NULL,NULL,NULL,NULL
"2020-12-01","104.46","97.34","97.54","102.02","98.97",NULL,NULL,NULL,NULL
"2021-01-01","104.41","97.74","100.07","103.57","100.46",NULL,NULL,NULL,NULL
"2021-02-01","111.01","101.47","103.01","105.07","103.18",NULL,NULL,NULL,NULL
"2021-03-01","113.94","106.07","107.9","106.32","106.76",NULL,NULL,NULL,NULL
"2021-04-01","113.48","110.14","109.11","108.12","109.12",NULL,NULL,NULL,NULL
"2021-05-01","115.6","114.65","111.31","109.97","111.98",NULL,NULL,NULL,NULL
"2021-06-01","115.37","115.9","112.52","110.89","113.10",NULL,NULL,NULL,NULL
"2021-07-01","114.93","118.03","115.84","111.8","115.22",NULL,NULL,NULL,NULL
"2021-08-01","115.88","121.59","117.92","111.89","117.13",NULL,NULL,NULL,NULL
"2021-09-01","118.58","127.26","119.42","114.4","120.36",NULL,NULL,NULL,NULL
"2021-10-01","121.91","148.54","128.24","116.12","130.97",NULL,NULL,NULL,NULL
"2021-11-01","127.43","151.18","132.17","117.86","133.74",NULL,NULL,NULL,NULL
"2021-12-01","132.78","175.98","130.68","119.89","142.18",NULL,NULL,NULL,NULL
"2022-01-01","137.99","216.45","132.35","124.32","157.71",NULL,NULL,NULL,NULL
"2022-02-01","144.27","232.02","137.76","126.52","165.43",NULL,NULL,NULL,NULL
"2022-03-01","149.9","258.62","169.11","130.26","186.00",NULL,NULL,NULL,NULL
"2022-04-01","159.68","295.46","157.59","137.15","196.73",NULL,NULL,NULL,NULL
"2022-05-01","168.36","292.64","169.81","146","202.82",NULL,NULL,NULL,NULL
"2022-06-01","172.24","274.59","182.25","148.61","201.82",NULL,NULL,NULL,NULL
"2022-07-01","179.8","268.12","176.99","150.88","198.66",NULL,NULL,NULL,NULL
"2022-08-01","178.08","269.58","167.66","151.61","196.28",NULL,NULL,NULL,NULL
"2022-09-01","178.71","273.08","169.6","151.64","198.11",NULL,NULL,NULL,NULL
"2022-10-01","177.96","277.65","184.67","153.45","205.26",NULL,NULL,NULL,NULL
"2022-11-01","180.53","277.57","183.6","155","205.39",NULL,NULL,NULL,NULL
"2022-12-01","197.38","275.47","167.23","155.86","199.52",NULL,NULL,NULL,NULL
"2023-01-01","180.98","270.53","167.38","155.97","197.96",NULL,NULL,NULL,NULL
"2023-02-01","160.45","259.99","165.42","156.42","193.94",NULL,NULL,NULL,NULL
"2023-03-01","141.77","245.61","162.6","156.32","188.18",NULL,NULL,NULL,NULL
"2023-04-01","129.54","213.41","159.19","155.55","176.05",NULL,NULL,NULL,NULL
"2023-05-01","128.34","189.78","151.99","150.99","164.25",NULL,NULL,NULL,NULL
"2023-06-01","123.56","159.17","153.85","146.71","153.24",NULL,NULL,NULL,NULL
"2023-07-01","117.41","151.32","154.81","144.41","150.18",NULL,NULL,NULL,NULL
"2023-08-01","110.37","150.73","163.15","140.14","151.34",NULL,NULL,NULL,NULL
"2023-09-01","110.17","151.77","171.59","137.35","153.57",NULL,NULL,NULL,NULL
"2023-10-01","109.83","151.9","171.49","133.82","152.40",NULL,NULL,NULL,NULL
"2023-11-01","115.22","151.59","161.6","133.37","148.85",NULL,NULL,NULL,NULL
"2023-12-01","119.64","151.55","156.43","132.11","146.70",NULL,NULL,NULL,NULL
"2024-01-01","125.84","151.17","154.87","131.85","145.96",NULL,NULL,NULL,NULL
"2024-02-01","134.4","149.31","158.05","131.66","146.34",NULL,NULL,NULL,NULL
"2024-03-01","137.05","147.73","153.95","130.54","144.07",NULL,NULL,NULL,NULL
"2024-04-01","134.59","146.41","156.24","129.67","144.11",NULL,NULL,NULL,NULL
"2024-05-01","138.77","142.05","154.67","126.82","141.18",NULL,NULL,NULL,NULL
"2024-06-01","140.49","140","151.98","125.78","139.25",NULL,NULL,NULL,NULL
"2024-07-01","146.08","139.41","153.75","122.57","138.58",NULL,NULL,NULL,NULL
"2024-08-01","152.32","137.12","151.58","122.24","136.98",NULL,NULL,NULL,NULL
"2024-09-01","160.57","137.08","147.88","120.56","135.17",NULL,NULL,NULL,NULL
"2024-10-01","164.46","137.08","148.64","120.58","135.43",NULL,NULL,NULL,NULL
"2024-11-01","166.94","137.38","149.14","121.95","136.16",NULL,NULL,NULL,NULL
"2024-12-01","164.71","137.73","150.3","121.86","136.63",NULL,NULL,NULL,NULL
"2025-01-01","166.62","140.71","154.32","122.44","139.16",NULL,NULL,NULL,NULL
"2025-02-01","167.1","144.38","155.67","122.87","140.97",NULL,NULL,NULL,NULL
"2025-03-01","161.13","153.08","152.49","123.22","142.93",NULL,NULL,NULL,NULL
"2025-04-01","159.71","157.4","150.47","123.23","143.70",NULL,NULL,NULL,NULL
"2025-05-01","158.44","156.51","146.64","123.7","142.28",NULL,NULL,NULL,NULL
"2025-06-01","157.26","154.73","146.05","123.62","141.47",NULL,NULL,NULL,NULL
"2025-07-01","155.15","156.81","151.03","123.55","143.80",NULL,NULL,NULL,NULL
"2025-08-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
