"month_start","output_milk_idx","cpi_mce_idx","cpi_fresh_milk_idx","cpi_mce_tminus1","cpi_mce_tminus3"
"2020-01-01","104.27","80.5","77.5",NULL,NULL
"2020-02-01","105.56","80.7","77.5","80.5",NULL
"2020-03-01","98.89","80.7","77.6","80.7",NULL
"2020-04-01","94.93","80.7","77.6","80.7","80.5"
"2020-05-01","95.98","80.6","77.6","80.7","80.7"
"2020-06-01","98.81","80.5","77.4","80.6","80.7"
"2020-07-01","100.2","81.1","77.5","80.5","80.7"
"2020-08-01","100.78","80.9","77.5","81.1","80.6"
"2020-09-01","102.31","79.8","77.5","80.9","80.5"
"2020-10-01","103.91","80.3","77.4","79.8","81.1"
"2020-11-01","104.35","80.6","77.4","80.3","80.9"
"2020-12-01","104.46","81.7","77.4","80.6","79.8"
"2021-01-01","104.41","80.4","77.4","81.7","80.3"
"2021-02-01","111.01","80.4","77.4","80.4","80.6"
"2021-03-01","113.94","80.6","77.4","80.4","81.7"
"2021-04-01","113.48","80.4","77.4","80.6","80.4"
"2021-05-01","115.6","80.4","77.4","80.4","80.4"
"2021-06-01","115.37","80.4","77.4","80.4","80.6"
"2021-07-01","114.93","81","77.7","80.4","80.4"
"2021-08-01","115.88","80.6","77.7","81","80.4"
"2021-09-01","118.58","80.5","77.7","80.6","80.4"
"2021-10-01","121.91","81.1","77.7","80.5","81"
"2021-11-01","127.43","81","77.4","81.1","80.6"
"2021-12-01","132.78","81.7","77.6","81","80.5"
"2022-01-01","137.99","81.7","79.5","81.7","81.1"
"2022-02-01","144.27","83.2","82.3","81.7","81"
"2022-03-01","149.9","84.4","84.1","83.2","81.7"
"2022-04-01","159.68","85.4","84.3","84.4","81.7"
"2022-05-01","168.36","85.7","85.6","85.4","83.2"
"2022-06-01","172.24","88.8","89.7","85.7","84.4"
"2022-07-01","179.8","91.9","94.1","88.8","85.4"
"2022-08-01","178.08","92.9","95.2","91.9","85.7"
"2022-09-01","178.71","93.4","96.3","92.9","88.8"
"2022-10-01","177.96","95.6","97.4","93.4","91.9"
"2022-11-01","180.53","97.9","102.8","95.6","92.9"
"2022-12-01","197.38","99.1","103.5","97.9","93.4"
"2023-01-01","180.98","99.3","103.7","99.1","95.6"
"2023-02-01","160.45","100.2","104.3","99.3","97.9"
"2023-03-01","141.77","101","104.5","100.2","99.1"
"2023-04-01","129.54","101.4","104.6","101","99.3"
"2023-05-01","128.34","100.3","101.8","101.4","100.2"
"2023-06-01","123.56","100.2","102.6","100.3","101"
"2023-07-01","117.41","99.8","100.9","100.2","101.4"
"2023-08-01","110.37","99.6","100.3","99.8","100.3"
"2023-09-01","110.17","99.4","100.2","99.6","100.2"
"2023-10-01","109.83","99.5","100","99.4","99.8"
"2023-11-01","115.22","99.8","100","99.5","99.6"
"2023-12-01","119.64","100","100","99.8","99.4"
"2024-01-01","125.84","98.8","100.1","100","99.5"
"2024-02-01","134.4","99.1","100","98.8","99.8"
"2024-03-01","137.05","99.9","100.2","99.1","100"
"2024-04-01","134.59","99.9","100.5","99.9","98.8"
"2024-05-01","138.77","100.1","100.5","99.9","99.1"
"2024-06-01","140.49","100","100.7","100.1","99.9"
"2024-07-01","146.08","99.7","100.6","100","99.9"
"2024-08-01","152.32","99.8","100.6","99.7","100.1"
"2024-09-01","160.57","99.6","100.9","99.8","100"
"2024-10-01","164.46","100.1","101.3","99.6","99.7"
"2024-11-01","166.94","102","105.8","100.1","99.8"
"2024-12-01","164.71","103","108.4","102","99.6"
"2025-01-01","166.62","102.3","108.5","103","100.1"
"2025-02-01","167.1","104.6","112","102.3","102"
"2025-03-01","161.13","105.8","112.7","104.6","103"
"2025-04-01","159.71","105.4","113","105.8","102.3"
"2025-05-01","158.44","105.8","113","105.4","104.6"
"2025-06-01","157.26","106.5","113.1","105.8","105.8"
"2025-07-01","155.15","105.5","113.1","106.5","105.4"
"2025-08-01",NULL,"107.1","113.1","105.5","105.8"
